Unnamed: 0,Title,Author,Year,Subjects,Filename,Total Number Words,Two Most Common Words,Ratio of Unique and Total Words
28,Dracula,Stoker Bram ,1847-1912,"['Horror tales', 'Epistolary fiction', 'Gothic fiction', 'Vampires -- Fiction', 'Dracula, Count (Fictitious character) -- Fiction', 'Transylvania (Romania) -- Fiction', 'Whitby (England) -- Fiction']",./books/dracula-stoker-bram.txt,167231,"['the', 'and']",0.05852383828357183
29,"Walden, and On The Duty Of Civil Disobedience",Thoreau Henry David ,1817-1862,"['Civil disobedience', 'Authors, American -- 19th century -- Biography', 'Thoreau, Henry David, 1817-1862 -- Homes and haunts -- Massachusetts -- Walden Woods', 'Wilderness areas -- Massachusetts -- Walden Woods', 'Natural history -- Massachusetts -- Walden Woods', 'Solitude', 'Government, Resistance to', 'Walden Woods (Mass.) -- Social life and customs']",./books/walden-and-on-the-duty-of-civil-disobedience-thoreau-henry-david.txt,120664,"['the', 'and']",0.09514851156931645
30,Treasure Island,Stevenson Robert Louis Rhead Louis ,1850-1857,"['Sea stories', 'Pirates -- Fiction', 'Treasure troves -- Fiction', 'Treasure Island (Imaginary place) -- Fiction']",./books/treasure-island-stevenson-robert-louis-rhead-louis.txt,73839,"['the', 'and']",0.08548328119286557
31,The Prince,Machiavelli Niccolò Marriott W K William Kenaz ,1469-1927,"['State, The -- Early works to 1800', 'Political science -- Philosophy -- Early works to 1800', 'Political ethics -- Early works to 1800']",./books/the-prince-machiavelli-niccolò-marriott-w-k-william-kenaz.txt,53457,"['the', 'to']",0.10385917653441083
32,Peter Pan,Barrie J M James Matthew ,1860-1937,"['Fantasy literature', 'Peter Pan (Fictitious character) -- Fiction', 'Never-Never Land (Imaginary place) -- Fiction', 'Pirates -- Fiction', 'Fairies -- Fiction']",./books/peter-pan-barrie-j-m-james-matthew.txt,51746,"['the', 'and']",0.10319638232906891
33,The Wonderful Wizard of Oz,Baum L Frank Lyman Frank ,1856-1919,"['Oz (Imaginary place) -- Juvenile fiction', 'Fantasy literature', 'Courage -- Juvenile fiction', 'Home -- Juvenile fiction', 'Good and evil -- Juvenile fiction', 'Dreams -- Juvenile fiction', 'Gale, Dorothy (Fictitious character) -- Juvenile fiction', 'Cowardly Lion (Fictitious character) -- Juvenile fiction', 'Cyclones -- Juvenile fiction', 'Scarecrow (Fictitious character from Baum) -- Juvenile fiction', 'Toto (Fictitious character) -- Juvenile fiction', 'Witches -- Juvenile fiction', 'Wizard of Oz (Fictitious character) -- Juvenile fiction', 'Tin Woodman (Fictitious character) -- Juvenile fiction']",./books/the-wonderful-wizard-of-oz-baum-l-frank-lyman-frank.txt,43290,"['the', 'and']",0.07854007854007854
34,The Call of the Wild,London Jack ,1876-1916,"['Dogs -- Fiction', 'Adventure stories', 'Nature stories', 'Klondike River Valley (Yukon) -- Fiction', 'Sled dogs -- Fiction', 'Pet theft -- Fiction', 'Feral dogs -- Fiction', 'Animal welfare -- Fiction']",./books/the-call-of-the-wild-london-jack.txt,35679,"['the', 'and']",0.14431458280781412
35,Grimms' Fairy Tales,Grimm Jacob Grimm Wilhelm ,1785-1786,['Fairy tales -- Germany'],./books/grimms-fairy-tales-grimm-jacob-grimm-wilhelm.txt,105335,"['the', 'and']",0.049185930602363884
36,Candide,Voltaire ,1694-1778,"['Satire', 'Optimism -- Fiction']",./books/candide-voltaire.txt,39360,"['the', 'of']",0.1391260162601626
37,The Republic,Plato  BCE BCEJowett Benjamin ,427-347,"['Classical literature', 'Political science -- Early works to 1800', 'Utopias -- Early works to 1800', 'Justice -- Early works to 1800']",./books/the-republic-plato--bce-bcejowett-benjamin.txt,220979,"['the', 'of']",0.04757013109843017
38,Dubliners,Joyce James ,1882-1941,"['Short stories', 'Dublin (Ireland) -- Fiction']",./books/dubliners-joyce-james.txt,72553,"['the', 'and']",0.104599396303392
39,Daemonologie.,James I King of England ,1566-1625,"['Magic', 'Witchcraft -- Scotland', 'Demonology', 'Fian, John, -1591']",./books/daemonologie-james-i-king-of-england.txt,29811,"['the', 'of']",0.1554459763174667
40,The Sign of the Four,Doyle Arthur Conan ,1859-1930,"['Holmes, Sherlock (Fictitious character) -- Fiction', 'Private investigators -- England -- Fiction', 'Detective and mystery stories']",./books/the-sign-of-the-four-doyle-arthur-conan.txt,47134,"['the', 'and']",0.12195018458013324
