Unnamed: 0,Title,Author,Year,Subjects,Filename,Total Number Words,Two Most Common Words,Ratio of Unique and Total Words
90,Notes from the Underground,Dostoyevsky Fyodor ,1821-1881,"['Political fiction', 'Russia -- History -- 1801-1917 -- Fiction', 'Russia -- Officials and employees -- Fiction']",./books/notes-from-the-underground-dostoyevsky-fyodor.txt,47884,"['i', 'the']",0.10771865341241334
91,David Copperfield,Dickens Charles ,1812-1870,"['Orphans -- Fiction', 'Autobiographical fiction', 'England -- Fiction', 'Bildungsromans', 'Young men -- Fiction', 'Boys -- Fiction', 'Stepfathers -- Fiction', 'Child labor -- Fiction']",./books/david-copperfield-dickens-charles.txt,367072,"['the', 'i']",0.038793479208438675
92,Thus Spake Zarathustra: A Book for All and None,Nietzsche Friedrich Wilhelm Common Thomas,1844,"['Superman (Philosophical concept)', 'Philosophy, German']",./books/thus-spake-zarathustra-a-book-for-all-and-none-nietzsche-friedrich-wilhelm-common-thoma.txt,117068,"['the', 'and']",0.0819950797826904
93,The Communist Manifesto,Engels Friedrich Marx Karl ,1820-1818,"['Socialism', 'Communism']",./books/the-communist-manifesto-engels-friedrich-marx-karl.txt,14752,"['the', 'of']",0.18024674620390455
94,The Spy,Cooper James Fenimore ,1789-1851,"['Historical fiction', 'War stories', 'United States -- History -- Revolution, 1775-1783 -- Fiction', 'Domestic fiction', 'Spy stories', 'New York (State) -- History -- Revolution, 1775-1783 -- Fiction']",./books/the-spy-cooper-james-fenimore.txt,3989,"['the', 'of']",0.22311356229631488
95,A Pickle for the Knowing Ones,Dexter Timothy ,1747-1806,"['Dexter, Timothy, 1747-1806', 'Newburyport (Mass.) -- Biography']",./books/a-pickle-for-the-knowing-ones-dexter-timothy.txt,15909,"['the', 'of']",0.21314978942736815
96,"The Happy Prince, and Other Tales",Wilde Oscar ,1854-1900,"['Fairy tales', ""Children's stories, English"", 'Short stories, English']",./books/the-happy-prince-and-other-tales-wilde-oscar.txt,19859,"['the', 'and']",0.13681454252479983
97,On Liberty,Mill John Stuart ,1806-1873,['Liberty'],./books/on-liberty-mill-john-stuart.txt,55616,"['the', 'of']",0.10881760644418872
98,Second Treatise of Government,Locke John ,1632-1704,"['Political science -- Early works to 1800', 'Toleration -- Early works to 1800', 'Liberty -- Early works to 1800']",./books/second-treatise-of-government-locke-john.txt,59929,"['the', 'of']",0.08384922157886833
99,The Gift of the Magi,Henry O ,1862-1910,"['Short stories', 'Christmas stories', 'Gifts -- Fiction']",./books/the-gift-of-the-magi-henry-o.txt,5338,"['the', 'of']",0.25046834020232295
